product_name,total_ingredients,irritant_count,irritant_list,safe_count,safe_list,natural_count,ingredient_level,compat_oily,compat_dry,compat_sensitive,compat_combination
비레디 블루 쿠션 4세대 15g(SPF 34 PA++),67,6,"['변성알코올', '라우', '향료', '에탄올', '프', '소듐라우']",4,"['에틸헥실글리세린', '네이트', '토코페롤', '네이트']",2,저자극,0.4522388059701493,0.15223880597014927,0.40223880597014927,0.3022388059701493
다슈 맨즈 멀티 커버 스틱 파운데이션 12g 뉴트럴베이지 기획(+미니 톤 컨트롤 로션),38,3,"['프', '향료', '페녹시에탄올']",0,[],1,저자극,0.5052631578947369,0.4552631578947368,0.4552631578947368,0.48026315789473684
두잉왓 소프트 블러링 필터 쿠션 15g 단품/기획,168,8,"['변성알코올', '향료', '변성알코올', '향료', '변성알코올', '향료', '변성알코올', '향료']",15,"['글리세린', '나이아신아마이드', '병풀추출물', '토코페롤', '글리세린', '나이아신아마이드', '토코페롤', '병풀추출물', '글리세린', '나이아신아마이드', '토코페롤', '병풀추출물', '글리세린', '나이아신아마이드', '토코페롤']",6,저자극,0.7619047619047619,0.36190476190476184,0.26190476190476186,0.5619047619047619
오브제 내추럴 커버 파운데이션 기획세트(+클렌징폼 50ml),61,2,"['소듐라우레스설페이트', '향료']",8,"['글리세린', '티트리잎수', '에틸헥실글리세린', '네이트', '네이트', '네이트', '네이트', '네이트']",12,저자극,0.8360655737704918,0.8360655737704918,0.6860655737704918,0.8360655737704918
[착붙쿠션] 그라펜 핸섬 커버쿠션 2종 택1,72,2,"['페녹시에탄올', '향료']",4,"['글리세린', '나이아신아마이드', '티트리잎추출물', '에틸헥실글리세린']",14,저자극,0.8611111111111112,0.7111111111111111,0.7111111111111111,0.7861111111111112
듀이셀 트루빔 파운데이션 12g 기획(+토너패드 20매),141,5,"['프', '프', '향료 2. 큐라힐스 히알루', '프', '알']",12,"['에틸헥실글리세린', '글리세린', '나이아신아마이드', '에틸헥실글리세린', '판테놀', '알', '에베라잎추출물', '네이트', '녹차추출물', '병풀추출물', '네이트', '네이트']",26,저자극,0.5226950354609929,0.6726950354609929,0.6726950354609929,0.5976950354609929
[올인원 완벽커버] 스웨거 톤 커버 파운데이션 스틱 [1호/2호],35,1,['페녹시에탄올'],2,"['글리세린', '티트리잎오일']",3,저자극,0.8571428571428572,0.7071428571428572,0.8571428571428572,0.7821428571428573
[NEW/덱스PICK] 오브제 퍼펙트 커버 쿠션 15g,61,1,['향료'],6,"['나이아신아마이드', '티트리추출물', '추출물', '베타인', '토코페롤', '글리세린']",10,저자극,0.9180327868852459,0.9180327868852459,0.7680327868852459,0.9180327868852459
비레디 블루 파운데이션 35ml,73,6,"['변성알코올', '향료', '프', '에탄올', '프', '소듐라우']",5,"['글리세린', '네이트', '토코페롤', '에틸헥실글리세린', '네이트']",2,저자극,0.38904109589041097,0.18904109589041096,0.43904109589041096,0.28904109589041094
비레디 블루 쿠션 4세대 리필 15g,67,6,"['변성알코올', '라우', '향료', '에탄올', '프', '소듐라우']",4,"['에틸헥실글리세린', '네이트', '토코페롤', '네이트']",2,저자극,0.4522388059701493,0.15223880597014927,0.40223880597014927,0.3022388059701493
라끌랑 슈퍼쉴드 옴므쿠션 2종 택1,62,1,['알'],5,"['나이아신아마이드', '알', '티트리잎추출물', '에틸헥실글리세린', '토코페롤']",13,저자극,0.9193548387096774,0.7693548387096774,0.9193548387096774,0.8443548387096773
"[하루종일 착붙] 원오브뎀 드 뗑 쿠션 12g(1호, 2호)",131,4,"['프', '프', '프', '프']",16,"['글리세린', '나이아신아마이드', '판테놀', '에틸헥실글리세린', '네이트', '병풀추출물', '티트리잎추출물', '토코페롤', '글리세린', '나이아신아마이드', '판테놀', '에틸헥실글리세린', '네이트', '병풀추출물', '티트리잎추출물', '토코페롤']",10,저자극,0.5473282442748091,0.8473282442748091,0.8473282442748091,0.6973282442748091
라끌랑 내츄럴 커버 옴므쿠션 3종 택1,49,2,"['페녹시에탄올', '향료']",5,"['티트리잎수', '병풀추출물', '네이트', '네이트', '녹차추출물']",11,저자극,0.7959183673469388,0.6459183673469387,0.4959183673469388,0.7209183673469388
[맨즈파데1등] 그라펜 팁 스케치 멀티 커버 파운데이션 20ml,72,1,['향료'],10,"['나이아신아마이드', '글리세린', '병풀추출물', '녹차추출물', '네이트', '세라마이드엔피', '토코페롤', '에틸헥실글리세린', '티트리잎추출물', '네이트']",4,저자극,0.9305555555555556,0.9305555555555556,0.7805555555555556,0.9305555555555556
[피부착붙컬러] 그라펜 매치업 파운데이션 40ml 단품/기획,67,3,"['변성알코올', '프', '향료']",4,"['네이트', '글리세린', '세라마이드엔피', '에틸헥실글리세린']",2,저자극,0.6761194029850747,0.6261194029850746,0.6261194029850746,0.6511194029850746
"[덱스 PICK] 오브제 내추럴 커버 파운데이션 13g (SPF50+, PA++++)",55,3,"['프', '프', '향료']",1,['토코페롤'],4,저자극,0.4272727272727273,0.7272727272727273,0.5772727272727273,0.5772727272727273
