,이름,평균리뷰점수,리뷰수
0,오브제 내추럴 커버 파운데이션 기획세트(+클렌징폼 50ml),4.8,"총 6,892건"
1,비레디 블루 파운데이션 35ml,4.8,총 883건
2,[덱스 PICK]오브제 퍼펙트 옴므 쿠션 15g (SPF50+PA+++),4.8,총 974건
3,비레디 블루 쿠션 4세대 15g(SPF 34 PA++),4.8,"총 3,322건"
4,다슈 맨즈 멀티 커버 스틱 파운데이션 ( 단품/기획 ),4.8,총 671건
5,[맨즈파데1등] 그라펜 팁 스케치 멀티 커버 파운데이션 20ml,4.9,총 576건
6,[착붙쿠션] 그라펜 핸섬 커버쿠션 2종 택1,4.7,총 452건
7,"[덱스 PICK] 오브제 내추럴 커버 파운데이션 13g (SPF50+, PA++++)",4.8,"총 3,832건"
8,비레디 블루 쿠션 4세대 리필 15g,4.9,"총 1,717건"
9,다슈 맨즈 아쿠아 매트 비비 쿠션 15g,4.6,총 61건
10,[피부착붙컬러] 그라펜 매치업 파운데이션 40ml 단품/기획,4.8,총 230건
11,다슈 맨즈 아쿠아 매트 비비 쿠션 (리필용),4.9,총 23건
12,다슈 맨즈 아쿠아 매트 비비쿠션 (본품+리필),4.6,총 8건
13,다슈 맨즈 멀티 커버 스틱 파운데이션 12g 뉴트럴베이지 기획(+미니 톤 컨트롤 로션),4.8,총 671건
14,두잉왓 소프트 블러링 필터 쿠션 15g 단품/기획,4.7,총 219건
