,이름,평균리뷰점수,리뷰수
0,오브제 내추럴 커버 파운데이션 기획세트(+클렌징폼 50ml),4.8,"총 6,892건"
1,비레디 블루 쿠션 4세대 15g(SPF 34 PA++),4.8,"총 3,323건"
2,비레디 블루 파운데이션 35ml,4.8,총 884건
3,[덱스 PICK]오브제 퍼펙트 옴므 쿠션 15g (SPF50+PA+++),4.8,총 974건
4,듀이셀 트루빔 파운데이션 12g 기획(+토너패드 20매),4.9,총 942건
5,라끌랑 올데이 파워 픽스쿠션 3종 택1,4.9,총 108건
6,"[덱스 PICK] 오브제 내추럴 커버 파운데이션 13g (SPF50+, PA++++)",4.8,"총 3,832건"
7,비레디 블루 쿠션 4세대 리필 15g,4.9,"총 1,718건"
8,다슈 맨즈 멀티 커버 스틱 파운데이션 ( 단품/기획 ),4.8,총 671건
9,[맨즈파데1등] 그라펜 팁 스케치 멀티 커버 파운데이션 20ml,4.9,총 576건
10,[밀착쿠션/OY단독기획/전용퍼프2P 증정] 정샘물 맨 슬림핏 누더 쿠션 (기획/단품),4.9,총 118건
11,"[하루종일 착붙] 원오브뎀 드 뗑 쿠션 12g(1호, 2호)",5.0,"총 1,169건"
12,[착붙쿠션] 그라펜 핸섬 커버쿠션 2종 택1,4.7,총 452건
13,라끌랑 슈퍼쉴드 옴므쿠션 2종 택1,4.7,총 456건
14,라끌랑 내츄럴 커버 옴므쿠션 3종 택1,4.8,총 424건
15,다슈 맨즈 아쿠아 매트 비비 쿠션 15g,4.6,총 61건
16,[피부착붙컬러] 그라펜 매치업 파운데이션 40ml 단품/기획,4.8,총 230건
17,다슈 맨즈 아쿠아 매트 비비 쿠션 (리필용),4.9,총 23건
18,다슈 맨즈 아쿠아 매트 비비쿠션 (본품+리필),4.6,총 8건
19,다슈 맨즈 멀티 커버 스틱 파운데이션 12g 뉴트럴베이지 기획(+미니 톤 컨트롤 로션),4.8,총 671건
20,두잉왓 소프트 블러링 필터 쿠션 15g 단품/기획,4.7,총 219건
21,듀이셀 트루빔 파운데이션 12g,5.0,총 853건
22,엠도씨 엔드 핏 스틱 비비 파운데이션 13g (1호/2호/3호),4.9,총 31건
23,[올인원 완벽커버] 스웨거 톤 커버 파운데이션 스틱 [1호/2호],4.9,총 263건
